"REF_DATE","GEO","DGUID","First official language spoken","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Prince Edward Island","2016A000211","English","Number","Number","223","units ","0","v1043024676","3.3.1","115878","","","","0"
"1981","Prince Edward Island","2016A000211","English and french","Number","Number","223","units ","0","v1043024677","3.4.1","164","","","","0"
"1981","Prince Edward Island","2016A000211","Neither english nor French","Number","Number","223","units ","0","v1043024678","3.5.1","37","","","","0"
"1981","Prince Edward Island","2016A000211","Official language minority","Number","Number","223","units ","0","v1043024679","3.6.1","5227","","","","0"
"1981","Nova Scotia","2016A000212","Total, first official language spoken","Number","Number","223","units ","0","v1043024681","4.1.1","839801","","","","0"
"1981","Nova Scotia","2016A000212","French","Number","Number","223","units ","0","v1043024682","4.2.1","32654","","","","0"
"1981","Nova Scotia","2016A000212","English","Number","Number","223","units ","0","v1043024683","4.3.1","804760","","","","0"
"1981","Nova Scotia","2016A000212","English and french","Number","Number","223","units ","0","v1043024684","4.4.1","1629","","","","0"
"1981","Nova Scotia","2016A000212","Neither english nor French","Number","Number","223","units ","0","v1043024685","4.5.1","758","","","","0"
"1981","Nova Scotia","2016A000212","Official language minority","Number","Number","223","units ","0","v1043024686","4.6.1","33469","","","","0"
"1981","New Brunswick","2016A000213","Total, first official language spoken","Number","Number","223","units ","0","v1043024688","5.1.1","689373","","","","0"
"1981","New Brunswick","2016A000213","French","Number","Number","223","units ","0","v1043024689","5.2.1","229607","","","","0"
"1981","New Brunswick","2016A000213","English","Number","Number","223","units ","0","v1043024690","5.3.1","455699","","","","0"
"1981","New Brunswick","2016A000213","English and french","Number","Number","223","units ","0","v1043024691","5.4.1","3651","","","","0"
"1981","New Brunswick","2016A000213","Neither english nor French","Number","Number","223","units ","0","v1043024692","5.5.1","416","","","","0"
"1981","New Brunswick","2016A000213","Official language minority","Number","Number","223","units ","0","v1043024693","5.6.1","231433","","","","0"
"1981","Quebec","2016A000224","Total, first official language spoken","Number","Number","223","units ","0","v1043024695","6.1.1","6369068","","","","0"
"1981","Quebec","2016A000224","French","Number","Number","223","units ","0","v1043024696","6.2.1","5364682","","","","0"
"1981","Quebec","2016A000224","English","Number","Number","223","units ","0","v1043024697","6.3.1","823746","","","","0"
"1981","Quebec","2016A000224","English and french","Number","Number","223","units ","0","v1043024698","6.4.1","131733","","","","0"
"1981","Quebec","2016A000224","Neither english nor French","Number","Number","223","units ","0","v1043024699","6.5.1","48907","","","","0"
"1981","Quebec","2016A000224","Official language minority","Number","Number","223","units ","0","v1043024700","6.6.1","889612","","","","0"
"1981","Ontario","2016A000235","Total, first official language spoken","Number","Number","223","units ","0","v1043024702","7.1.1","8534263","","","","0"
"1981","Ontario","2016A000235","French","Number","Number","223","units ","0","v1043024703","7.2.1","437862","","","","0"
"1981","Ontario","2016A000235","English","Number","Number","223","units ","0","v1043024704","7.3.1","7898249","","","","0"
"1981","Ontario","2016A000235","English and french","Number","Number","223","units ","0","v1043024705","7.4.1","55933","","","","0"
"1981","Ontario","2016A000235","Neither english nor French","Number","Number","223","units ","0","v1043024706","7.5.1","142219","","","","0"
"1981","Ontario","2016A000235","Official language minority","Number","Number","223","units ","0","v1043024707","7.6.1","465829","","","","0"
"1981","Manitoba","2016A000246","Total, first official language spoken","Number","Number","223","units ","0","v1043024709","8.1.1","1013703","","","","0"
"1981","Manitoba","2016A000246","French","Number","Number","223","units ","0","v1043024710","8.2.1","47459","","","","0"
"1981","Manitoba","2016A000246","English","Number","Number","223","units ","0","v1043024711","8.3.1","948317","","","","0"
"1981","Manitoba","2016A000246","English and french","Number","Number","223","units ","0","v1043024712","8.4.1","3253","","","","0"
"1981","Manitoba","2016A000246","Neither english nor French","Number","Number","223","units ","0","v1043024713","8.5.1","14675","","","","0"
"1981","Manitoba","2016A000246","Official language minority","Number","Number","223","units ","0","v1043024714","8.6.1","49085","","","","0"
"1981","Saskatchewan ","2016A000247","Total, first official language spoken","Number","Number","223","units ","0","v1043024716","9.1.1","956441","","","","0"
"1981","Saskatchewan ","2016A000247","French","Number","Number","223","units ","0","v1043024717","9.2.1","21797","","","","0"
"1981","Saskatchewan ","2016A000247","English","Number","Number","223","units ","0","v1043024718","9.3.1","926419","","","","0"
"1981","Saskatchewan ","2016A000247","English and french","Number","Number","223","units ","0","v1043024719","9.4.1","1371","","","","0"
"1981","Saskatchewan ","2016A000247","Neither english nor French","Number","Number","223","units ","0","v1043024720","9.5.1","6854","","","","0"
"1981","Saskatchewan ","2016A000247","Official language minority","Number","Number","223","units ","0","v1043024721","9.6.1","22483","","","","0"
"1981","Alberta","2016A000248","Total, first official language spoken","Number","Number","223","units ","0","v1043024723","10.1.1","2213651","","","","0"
"1981","Alberta","2016A000248","French","Number","Number","223","units ","0","v1043024724","10.2.1","53253","","","","0"
"1981","Alberta","2016A000248","English","Number","Number","223","units ","0","v1043024725","10.3.1","2132396","","","","0"
"1981","Alberta","2016A000248","English and french","Number","Number","223","units ","0","v1043024726","10.4.1","7065","","","","0"
"1981","Alberta","2016A000248","Neither english nor French","Number","Number","223","units ","0","v1043024727","10.5.1","20937","","","","0"
"1981","Alberta","2016A000248","Official language minority","Number","Number","223","units ","0","v1043024728","10.6.1","56785","","","","0"
"1981","British Columbia","2016A000259","Total, first official language spoken","Number","Number","223","units ","0","v1043024730","11.1.1","2713615","","","","0"
"1981","British Columbia","2016A000259","French","Number","Number","223","units ","0","v1043024731","11.2.1","36090","","","","0"
"1981","British Columbia","2016A000259","English","Number","Number","223","units ","0","v1043024732","11.3.1","2632280","","","","0"
"1981","British Columbia","2016A000259","English and french","Number","Number","223","units ","0","v1043024733","11.4.1","8006","","","","0"
"1981","British Columbia","2016A000259","Neither english nor French","Number","Number","223","units ","0","v1043024734","11.5.1","37239","","","","0"
"1981","British Columbia","2016A000259","Official language minority","Number","Number","223","units ","0","v1043024735","11.6.1","40093","","","","0"
"1981","Yukon","2016A000260","Total, first official language spoken","Number","Number","223","units ","0","v1043024737","12.1.1","23074","","","","0"
"1981","Yukon","2016A000260","French","Number","Number","223","units ","0","v1043024738","12.2.1","443","","","","0"
"1981","Yukon","2016A000260","English","Number","Number","223","units ","0","v1043024739","12.3.1","22512","","","","0"
"1981","Yukon","2016A000260","English and french","Number","Number","223","units ","0","v1043024740","12.4.1","79","","","","0"
"1981","Yukon","2016A000260","Neither english nor French","Number","Number","223","units ","0","v1043024741","12.5.1","40","","","","0"
"1981","Yukon","2016A000260","Official language minority","Number","Number","223","units ","0","v1043024742","12.6.1","483","","","","0"
"1981","Northwest Territories including Nunavut","2016A000261","Total, first official language spoken","Number","Number","223","units ","0","v1043024744","13.1.1","45537","","","t","0"
"1981","Northwest Territories including Nunavut","2016A000261","French","Number","Number","223","units ","0","v1043024745","13.2.1","1071","","","t","0"
"1981","Northwest Territories including Nunavut","2016A000261","English","Number","Number","223","units ","0","v1043024746","13.3.1","38017","","","t","0"
"1981","Northwest Territories including Nunavut","2016A000261","English and french","Number","Number","223","units ","0","v1043024747","13.4.1","159","","","t","0"
"1981","Northwest Territories including Nunavut","2016A000261","Neither english nor French","Number","Number","223","units ","0","v1043024748","13.5.1","6290","","","t","0"
"1981","Northwest Territories including Nunavut","2016A000261","Official language minority","Number","Number","223","units ","0","v1043024749","13.6.1","1151","","","t","0"
"1981","Canada outside Quebec","","Total, first official language spoken","Number","Number","223","units ","0","v1043024765","16.1.1","17714428","","","","0"
"1981","Canada outside Quebec","","French","Number","Number","223","units ","0","v1043024766","16.2.1","867509","","","","0"
"1981","Canada outside Quebec","","English","Number","Number","223","units ","0","v1043024767","16.3.1","16535455","","","","0"
"1981","Canada outside Quebec","","English and french","Number","Number","223","units ","0","v1043024768","16.4.1","81623","","","","0"
"1981","Canada outside Quebec","","Neither english nor French","Number","Number","223","units ","0","v1043024769","16.5.1","229841","","","","0"
"1981","Canada outside Quebec","","Official language minority","Number","Number","223","units ","0","v1043024770","16.6.1","908320","","","","0"
"1991","Canada","2016A000011124","Total, first official language spoken","Number","Number","223","units ","0","v1043024660","1.1.1","26994035","","","","0"
"1991","Canada","2016A000011124","French","Number","Number","223","units ","0","v1043024661","1.2.1","6704675","","","","0"
"1991","Canada","2016A000011124","English","Number","Number","223","units ","0","v1043024662","1.3.1","19709370","","","","0"
"1991","Canada","2016A000011124","English and french","Number","Number","223","units ","0","v1043024663","1.4.1","217080","","","","0"
"1991","Canada","2016A000011124","Neither english nor French","Number","Number","223","units ","0","v1043024664","1.5.1","362910","","","","0"
"1991","Canada","2016A000011124","Official language minority","Number","Number","223","units ","0","v1043024665","1.6.1","6813220","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Total, first official language spoken","Number","Number","223","units ","0","v1043024667","2.1.1","563940","","","","0"
"1991","Newfoundland and Labrador","2016A000210","French","Number","Number","223","units ","0","v1043024668","2.2.1","2630","","","","0"
"1991","Newfoundland and Labrador","2016A000210","English","Number","Number","223","units ","0","v1043024669","2.3.1","560485","","","","0"
"1991","Newfoundland and Labrador","2016A000210","English and french","Number","Number","223","units ","0","v1043024670","2.4.1","95","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Neither english nor French","Number","Number","223","units ","0","v1043024671","2.5.1","725","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Official language minority","Number","Number","223","units ","0","v1043024672","2.6.1","2675","","","","0"
"1991","Prince Edward Island","2016A000211","Total, first official language spoken","Number","Number","223","units ","0","v1043024674","3.1.1","128100","","","","0"
"1991","Prince Edward Island","2016A000211","French","Number","Number","223","units ","0","v1043024675","3.2.1","5235","","","","0"
"1991","Prince Edward Island","2016A000211","English","Number","Number","223","units ","0","v1043024676","3.3.1","122720","","","","0"
"1991","Prince Edward Island","2016A000211","English and french","Number","Number","223","units ","0","v1043024677","3.4.1","85","","","","0"
"1991","Prince Edward Island","2016A000211","Neither english nor French","Number","Number","223","units ","0","v1043024678","3.5.1","55","","","","0"
"1991","Prince Edward Island","2016A000211","Official language minority","Number","Number","223","units ","0","v1043024679","3.6.1","5280","","","","0"
"1991","Nova Scotia","2016A000212","Total, first official language spoken","Number","Number","223","units ","0","v1043024681","4.1.1","890950","","","","0"
"1991","Nova Scotia","2016A000212","French","Number","Number","223","units ","0","v1043024682","4.2.1","35470","","","","0"
"1991","Nova Scotia","2016A000212","English","Number","Number","223","units ","0","v1043024683","4.3.1","853680","","","","0"
"1991","Nova Scotia","2016A000212","English and french","Number","Number","223","units ","0","v1043024684","4.4.1","835","","","","0"
"1991","Nova Scotia","2016A000212","Neither english nor French","Number","Number","223","units ","0","v1043024685","4.5.1","970","","","","0"
"1991","Nova Scotia","2016A000212","Official language minority","Number","Number","223","units ","0","v1043024686","4.6.1","35885","","","","0"
"1991","New Brunswick","2016A000213","Total, first official language spoken","Number","Number","223","units ","0","v1043024688","5.1.1","716495","","","","0"
"1991","New Brunswick","2016A000213","French","Number","Number","223","units ","0","v1043024689","5.2.1","241765","","","","0"
"1991","New Brunswick","2016A000213","English","Number","Number","223","units ","0","v1043024690","5.3.1","472550","","","","0"
"1991","New Brunswick","2016A000213","English and french","Number","Number","223","units ","0","v1043024691","5.4.1","1730","","","","0"
"1991","New Brunswick","2016A000213","Neither english nor French","Number","Number","223","units ","0","v1043024692","5.5.1","455","","","","0"
"1991","New Brunswick","2016A000213","Official language minority","Number","Number","223","units ","0","v1043024693","5.6.1","242630","","","","0"
"1991","Quebec","2016A000224","Total, first official language spoken","Number","Number","223","units ","0","v1043024695","6.1.1","6810300","","","","0"
"1991","Quebec","2016A000224","French","Number","Number","223","units ","0","v1043024696","6.2.1","5772180","","","","0"
"1991","Quebec","2016A000224","English","Number","Number","223","units ","0","v1043024697","6.3.1","832045","","","","0"
"1991","Quebec","2016A000224","English and french","Number","Number","223","units ","0","v1043024698","6.4.1","144505","","","","0"
"1991","Quebec","2016A000224","Neither english nor French","Number","Number","223","units ","0","v1043024699","6.5.1","61565","","","","0"
"1991","Quebec","2016A000224","Official language minority","Number","Number","223","units ","0","v1043024700","6.6.1","904305","","","","0"
"1991","Ontario","2016A000235","Total, first official language spoken","Number","Number","223","units ","0","v1043024702","7.1.1","9977050","","","","0"
"1991","Ontario","2016A000235","French","Number","Number","223","units ","0","v1043024703","7.2.1","483445","","","","0"
"1991","Ontario","2016A000235","English","Number","Number","223","units ","0","v1043024704","7.3.1","9255865","","","","0"
"1991","Ontario","2016A000235","English and french","Number","Number","223","units ","0","v1043024705","7.4.1","52410","","","","0"
"1991","Ontario","2016A000235","Neither english nor French","Number","Number","223","units ","0","v1043024706","7.5.1","185335","","","","0"
"1991","Ontario","2016A000235","Official language minority","Number","Number","223","units ","0","v1043024707","7.6.1","509650","","","","0"
"1991","Manitoba","2016A000246","Total, first official language spoken","Number","Number","223","units ","0","v1043024709","8.1.1","1079395","","","","0"
"1991","Manitoba","2016A000246","French","Number","Number","223","units ","0","v1043024710","8.2.1","46665","","","","0"
"1991","Manitoba","2016A000246","English","Number","Number","223","units ","0","v1043024711","8.3.1","1017500","","","","0"
"1991","Manitoba","2016A000246","English and french","Number","Number","223","units ","0","v1043024712","8.4.1","2265","","","","0"
"1991","Manitoba","2016A000246","Neither english nor French","Number","Number","223","units ","0","v1043024713","8.5.1","12965","","","","0"
"1991","Manitoba","2016A000246","Official language minority","Number","Number","223","units ","0","v1043024714","8.6.1","47800","","","","0"
"1991","Saskatchewan ","2016A000247","Total, first official language spoken","Number","Number","223","units ","0","v1043024716","9.1.1","976040","","","","0"
"1991","Saskatchewan ","2016A000247","French","Number","Number","223","units ","0","v1043024717","9.2.1","19315","","","","0"
"1991","Saskatchewan ","2016A000247","English","Number","Number","223","units ","0","v1043024718","9.3.1","950350","","","","0"
"1991","Saskatchewan ","2016A000247","English and french","Number","Number","223","units ","0","v1043024719","9.4.1","975","","","","0"
"1991","Saskatchewan ","2016A000247","Neither english nor French","Number","Number","223","units ","0","v1043024720","9.5.1","5395","","","","0"
"1991","Saskatchewan ","2016A000247","Official language minority","Number","Number","223","units ","0","v1043024721","9.6.1","19805","","","","0"
"1991","Alberta","2016A000248","Total, first official language spoken","Number","Number","223","units ","0","v1043024723","10.1.1","2519180","","","","0"
"1991","Alberta","2016A000248","French","Number","Number","223","units ","0","v1043024724","10.2.1","50565","","","","0"
"1991","Alberta","2016A000248","English","Number","Number","223","units ","0","v1043024725","10.3.1","2433560","","","","0"
"1991","Alberta","2016A000248","English and french","Number","Number","223","units ","0","v1043024726","10.4.1","5430","","","","0"
"1991","Alberta","2016A000248","Neither english nor French","Number","Number","223","units ","0","v1043024727","10.5.1","29635","","","","0"
"1991","Alberta","2016A000248","Official language minority","Number","Number","223","units ","0","v1043024728","10.6.1","53280","","","","0"
"1991","British Columbia","2016A000259","Total, first official language spoken","Number","Number","223","units ","0","v1043024730","11.1.1","3247505","","","","0"
"1991","British Columbia","2016A000259","French","Number","Number","223","units ","0","v1043024731","11.2.1","45225","","","","0"
"1991","British Columbia","2016A000259","English","Number","Number","223","units ","0","v1043024732","11.3.1","3132795","","","","0"
"1991","British Columbia","2016A000259","English and french","Number","Number","223","units ","0","v1043024733","11.4.1","8635","","","","0"
"1991","British Columbia","2016A000259","Neither english nor French","Number","Number","223","units ","0","v1043024734","11.5.1","60850","","","","0"
"1991","British Columbia","2016A000259","Official language minority","Number","Number","223","units ","0","v1043024735","11.6.1","49545","","","","0"
"1991","Yukon","2016A000260","Total, first official language spoken","Number","Number","223","units ","0","v1043024737","12.1.1","27660","","","","0"
"1991","Yukon","2016A000260","French","Number","Number","223","units ","0","v1043024738","12.2.1","835","","","","0"
"1991","Yukon","2016A000260","English","Number","Number","223","units ","0","v1043024739","12.3.1","26765","","","","0"
"1991","Yukon","2016A000260","English and french","Number","Number","223","units ","0","v1043024740","12.4.1","30","","","","0"
"1991","Yukon","2016A000260","Neither english nor French","Number","Number","223","units ","0","v1043024741","12.5.1","25","","","","0"
"1991","Yukon","2016A000260","Official language minority","Number","Number","223","units ","0","v1043024742","12.6.1","850","","","","0"
"1991","Northwest Territories including Nunavut","2016A000261","Total, first official language spoken","Number","Number","223","units ","0","v1043024744","13.1.1","57435","","","t","0"
